giornata,team,opponent,side,score_for,score_against,result,totale,module,modificatore_difesa,fattore_campo
14,TEAM WOLFLING,TOMATO,home,1,4,L,69.5,442,,2.0
14,TOMATO,TEAM WOLFLING,away,4,1,W,86.0,442,2.0,
15,VINCENZO,PAUL POGSHAO,home,2,1,W,72.0,433,2.0,2.0
15,PAUL POGSHAO,VINCENZO,away,1,2,L,71.5,433,0.5,
15,CHELSEA,TEAM GLIDER,home,4,1,W,87.0,433,0.5,2.0
15,TEAM GLIDER,CHELSEA,away,1,4,L,66.5,343,,
15,TOMATO,ASS ASS IN FC,home,0,2,L,65.0,442,,2.0
15,ASS ASS IN FC,TOMATO,away,2,0,W,72.5,433,1.0,
15,BOBOTOTTI,TEAM HAIR FLICK,home,0,2,L,53.0,343,,2.0
15,TEAM HAIR FLICK,BOBOTOTTI,away,2,0,W,73.0,433,2.0,
15,TEAM YANGTUO,TEAM WOLFLING,home,3,1,W,80.5,343,,2.0
15,TEAM WOLFLING,TEAM YANGTUO,away,1,3,L,69.5,442,0.5,
16,PAUL POGSHAO,TEAM YANGTUO,home,1,1,D,66.5,442,1.0,2.0
16,TEAM YANGTUO,PAUL POGSHAO,away,1,1,D,66.0,343,,
16,BOBOTOTTI,VINCENZO,home,0,2,L,64.5,343,,2.0
16,VINCENZO,BOBOTOTTI,away,2,0,W,73.5,433,1.0,
16,ASS ASS IN FC,TEAM GLIDER,home,2,2,D,73.0,433,1.0,2.0
16,TEAM GLIDER,ASS ASS IN FC,away,2,2,D,72.0,343,,
16,TEAM HAIR FLICK,TOMATO,home,3,1,W,81.5,343,,2.0
16,TOMATO,TEAM HAIR FLICK,away,1,3,L,66.5,343,,
16,TEAM WOLFLING,CHELSEA,home,1,2,L,71.0,532,1.0,2.0
16,CHELSEA,TEAM WOLFLING,away,2,1,W,72.5,442,0.5,
17,TEAM GLIDER,TOMATO,home,4,2,W,88.0,433,2.0,2.0
17,TOMATO,TEAM GLIDER,away,2,4,L,76.5,343,,
17,ASS ASS IN FC,VINCENZO,home,3,2,W,79.0,433,0.5,2.0
17,VINCENZO,ASS ASS IN FC,away,2,3,L,76.5,433,2.0,
17,TEAM WOLFLING,BOBOTOTTI,home,1,2,L,67.5,532,1.0,2.0
17,BOBOTOTTI,TEAM WOLFLING,away,2,1,W,75.5,343,,
17,CHELSEA,TEAM YANGTUO,home,0,1,L,65.5,442,,2.0
17,TEAM YANGTUO,CHELSEA,away,1,0,W,68.0,442,1.0,
17,PAUL POGSHAO,TEAM HAIR FLICK,home,4,2,W,87.0,442,2.0,2.0
17,TEAM HAIR FLICK,PAUL POGSHAO,away,2,4,L,73.5,343,,
18,TOMATO,CHELSEA,home,2,2,D,76.5,433,0.5,2.0
18,CHELSEA,TOMATO,away,2,2,D,73.5,442,2.0,
18,BOBOTOTTI,PAUL POGSHAO,home,0,2,L,63.5,343,,2.0
18,PAUL POGSHAO,BOBOTOTTI,away,2,0,W,73.5,433,2.0,
18,TEAM YANGTUO,ASS ASS IN FC,home,1,2,L,69.5,352,,2.0
18,ASS ASS IN FC,TEAM YANGTUO,away,2,1,W,75.5,433,0.5,
18,TEAM HAIR FLICK,TEAM GLIDER,home,2,4,L,74.0,433,0.5,2.0
18,TEAM GLIDER,TEAM HAIR FLICK,away,4,2,W,85.5,343,,
18,VINCENZO,TEAM WOLFLING,home,4,2,W,87.0,433,1.0,2.0
18,TEAM WOLFLING,VINCENZO,away,2,4,L,72.0,541,2.0,
19,VINCENZO,ASS ASS IN FC,home,1,1,D,67.0,433,1.0,2.0
19,ASS ASS IN FC,VINCENZO,away,1,1,D,70.5,433,0.5,
19,TOMATO,TEAM YANGTUO,home,1,1,D,66.5,343,,2.0
19,TEAM YANGTUO,TOMATO,away,1,1,D,69.0,442,0.5,
19,TEAM GLIDER,BOBOTOTTI,home,0,2,L,65.0,343,,2.0
19,BOBOTOTTI,TEAM GLIDER,away,2,0,W,77.0,442,3.0,
19,PAUL POGSHAO,TEAM WOLFLING,home,3,1,W,79.5,433,2.0,2.0
19,TEAM WOLFLING,PAUL POGSHAO,away,1,3,L,70.0,442,2.0,
19,TEAM HAIR FLICK,CHELSEA,home,0,2,L,60.0,433,0.5,2.0
19,CHELSEA,TEAM HAIR FLICK,away,2,0,W,74.5,442,0.5,
20,TEAM YANGTUO,VINCENZO,home,1,5,L,66.5,343,,2.0
20,VINCENZO,TEAM YANGTUO,away,5,1,W,93.5,433,3.0,
20,TEAM WOLFLING,TEAM HAIR FLICK,home,2,2,D,72.5,442,1.0,2.0
20,TEAM HAIR FLICK,TEAM WOLFLING,away,2,2,D,76.0,442,1.0,
20,BOBOTOTTI,PAUL POGSHAO,home,4,1,W,89.5,442,2.0,2.0
20,PAUL POGSHAO,BOBOTOTTI,away,1,4,L,70.5,433,2.0,
20,ASS ASS IN FC,TEAM GLIDER,home,2,1,W,72.5,433,0.5,2.0
20,TEAM GLIDER,ASS ASS IN FC,away,1,2,L,71.0,343,,
20,CHELSEA,TOMATO,home,1,1,D,70.5,433,,2.0
20,TOMATO,CHELSEA,away,1,1,D,67.0,352,,
21,VINCENZO,CHELSEA,home,5,1,W,93.5,433,4.0,2.0
21,CHELSEA,VINCENZO,away,1,5,L,69.5,433,,
21,TOMATO,TEAM WOLFLING,home,1,1,D,68.5,352,,2.0
21,TEAM WOLFLING,TOMATO,away,1,1,D,67.5,541,1.0,
21,TEAM GLIDER,TEAM YANGTUO,home,4,3,W,85.5,433,2.0,2.0
21,TEAM YANGTUO,TEAM GLIDER,away,3,4,L,81.5,433,0.5,
21,ASS ASS IN FC,BOBOTOTTI,home,0,1,L,64.5,433,0.5,2.0
21,BOBOTOTTI,ASS ASS IN FC,away,1,0,W,71.5,442,2.0,
21,TEAM HAIR FLICK,PAUL POGSHAO,home,3,0,W,78.5,433,1.0,2.0
21,PAUL POGSHAO,TEAM HAIR FLICK,away,0,3,L,60.5,433,1.0,
22,TEAM YANGTUO,ASS ASS IN FC,home,4,0,W,88.0,442,2.0,2.0
22,ASS ASS IN FC,TEAM YANGTUO,away,0,4,L,55.0,433,,
22,PAUL POGSHAO,TOMATO,home,3,3,D,80.0,433,3.0,2.0
22,TOMATO,PAUL POGSHAO,away,3,3,D,81.5,343,,
22,TEAM WOLFLING,VINCENZO,home,3,2,W,79.5,442,2.0,2.0
22,VINCENZO,TEAM WOLFLING,away,2,3,L,73.0,433,2.0,
22,BOBOTOTTI,TEAM HAIR FLICK,home,0,2,L,64.0,433,,2.0
22,TEAM HAIR FLICK,BOBOTOTTI,away,2,0,W,73.5,433,2.0,
22,CHELSEA,TEAM GLIDER,home,1,2,L,70.5,343,,2.0
22,TEAM GLIDER,CHELSEA,away,2,1,W,75.0,352,,
23,VINCENZO,PAUL POGSHAO,home,2,0,W,73.0,433,0.5,2.0
23,PAUL POGSHAO,VINCENZO,away,0,2,L,63.5,433,1.0,
23,TOMATO,TEAM HAIR FLICK,home,2,2,D,72.0,433,1.0,2.0
