giornata,team,opponent,side,score_for,score_against,result,totale,module,modificatore_difesa,fattore_campo
28,MARIO GO,BALZARETTI42,home,1,2,L,71.0,343,,2.0
28,BALZARETTI42,MARIO GO,away,2,1,W,75.5,433,0.5,
28,BOSS ROMAZDA,TEAM SITH,home,3,3,D,78.5,343,,2.0
28,TEAM SITH,BOSS ROMAZDA,away,3,3,D,78.0,451,1.0,
28,TEAM CHENFENGZI,SANSHIMI,home,2,0,W,76.5,433,0.5,2.0
28,SANSHIMI,TEAM CHENFENGZI,away,0,2,L,64.5,433,0.5,
28,MIZI-MAIGO,X-17,home,0,2,L,63.5,343,,2.0
28,X-17,MIZI-MAIGO,away,2,0,W,75.0,352,,
28,TEAM BRAUNA,XIAO SHI,home,1,3,L,71.5,433,0.5,2.0
28,XIAO SHI,TEAM BRAUNA,away,3,1,W,81.0,442,2.0,
29,BALZARETTI42,BOSS ROMAZDA,home,1,4,L,71.0,433,1.0,2.0
29,BOSS ROMAZDA,BALZARETTI42,away,4,1,W,89.5,343,,
29,XIAO SHI,MIZI-MAIGO,home,2,2,D,73.0,442,1.0,2.0
29,MIZI-MAIGO,XIAO SHI,away,2,2,D,75.5,352,,
29,X-17,TEAM CHENFENGZI,home,2,0,W,77.5,352,,2.0
29,TEAM CHENFENGZI,X-17,away,0,2,L,65.5,352,,
29,SANSHIMI,MARIO GO,home,2,2,D,75.0,433,,2.0
29,MARIO GO,SANSHIMI,away,2,2,D,72.5,442,2.0,
29,TEAM SITH,TEAM BRAUNA,home,0,2,L,60.5,451,,2.0
29,TEAM BRAUNA,TEAM SITH,away,2,0,W,74.5,352,,
30,TEAM BRAUNA,BALZARETTI42,home,1,0,W,68.5,343,,2.0
30,BALZARETTI42,TEAM BRAUNA,away,0,1,L,62.5,442,,
30,MIZI-MAIGO,TEAM SITH,home,1,1,D,69.5,442,0.5,2.0
30,TEAM SITH,MIZI-MAIGO,away,1,1,D,71.0,442,0.5,
30,BOSS ROMAZDA,SANSHIMI,home,2,1,W,74.5,343,,2.0
30,SANSHIMI,BOSS ROMAZDA,away,1,2,L,70.5,343,,
30,TEAM CHENFENGZI,MARIO GO,home,2,4,L,76.0,352,,2.0
