giornata,team,opponent,side,score_for,score_against,result,totale,module,modificatore_difesa,fattore_campo
12,BJ EASTONE FC,TEAM ASRSUPERJULIAN,away,0,1,L,60.0,352,,
12,KKK,DARTH VADER,home,3,2,W,79.5,343,,2.0
12,DARTH VADER,KKK,away,2,3,L,75.5,442,2.0,
12,ETHANANITA,WINNING MOMENT,home,2,1,W,72.0,442,0.5,2.0
12,WINNING MOMENT,ETHANANITA,away,1,2,L,71.0,352,,
12,BOVE,FANTA GPT,home,2,0,W,77.5,433,2.0,2.0
12,FANTA GPT,BOVE,away,0,2,L,63.0,433,0.5,
12,VENI VIDI VICI,TIGER REBELS,home,3,1,W,83.0,433,1.0,2.0
12,TIGER REBELS,VENI VIDI VICI,away,1,3,L,68.5,442,2.0,
13,TEAM ASRSUPERJULIAN,ETHANANITA,home,2,2,D,72.5,433,0.5,2.0
13,ETHANANITA,TEAM ASRSUPERJULIAN,away,2,2,D,75.0,343,,
13,WINNING MOMENT,BJ EASTONE FC,home,1,0,W,68.5,352,,2.0
13,BJ EASTONE FC,WINNING MOMENT,away,0,1,L,56.5,352,,
13,DARTH VADER,VENI VIDI VICI,home,1,2,L,70.5,442,0.5,2.0
13,VENI VIDI VICI,DARTH VADER,away,2,1,W,77.5,433,1.0,
